順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,7,8,ヘニーガイスト,+10.2,2.4,1人気,+2.0前走3F最速 / +2.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-1.0季節×性別 / -2.0ペース適性,好気配
2,6,6,チャーリー,+10.1,4.2,2人気,+1.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +1.5ペース適性,-1.0季節×性別,元気一杯
3,5,5,シーズザスローン,+9.2,5.8,4人気,+1.0調教評価 / +0.4前走好走 / +0.4前々走好走 / +0.5血統距離適性 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス / +1.5ペース適性,-1.0季節×性別,出来は良
4,8,10,フルールドール,+6.0,34.4,8人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0ペース適性,好気合
5,4,4,スマートケープ,+5.5,35.4,9人気,+3.0同コース実績 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス,-1.0ペース適性,順調
6,8,9,アイウィル,+5.5,23.7,6人気,+1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.5勝利数ボーナス / +1.5ペース適性,-1.0季節×性別,乗込入念
7,3,3,タイセイミッション,+5.0,31.6,7人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +1.0内枠先行 / +2.5勝利数ボーナス,-0.5血統距離適性 / -1.0ペース適性,余力十分
8,1,1,サムシャイン,+4.4,4.3,3人気,+1.0調教評価 / +1.0叩き2戦目 / +0.2前走好走 / +0.4前々走好走 / +1.0内枠先行 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス,-2.0枠番補正 / -1.0季節×性別 / -1.0ペース適性,気配上々
9,7,7,スマートカイロス,+2.9,16.8,5人気,+2.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +2.5勝利数ボーナス,-1.0季節×性別 / -2.0ペース適性,キビキビ
10,2,2,キュールエフウジン,+1.0,114.1,10人気,+1.0調教評価 / +1.0叩き2戦目 / +2.0ペース適性,-2.0枠番補正 / -1.0季節×性別,出来は良

■レース情報,ダート1700m,202601010410,良

■買いサイン,🏇 三連単A+B推奨,3勝クラス×2.4倍 / 乖離0.1pt 10頭 / A+B 24点

■評価コメント
,3勝クラス×2.4倍：三連単A+Bフォーメーション推奨（ROI241%・ヒット率24%）。
,[A] ヘニーガイスト（1着固定）× 紐4頭（2-3着）12点
,[B] 紐4頭（1着）× ヘニーガイスト（2着固定）× 紐4頭（3着）12点

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:8番ヘニーガイスト / 相手(予想2〜6位):6,5,10,4,9",10点
,4－5－8
,4－6－8
,4－8－9
,4－8－10
,5－6－8
,5－8－9
,5－8－10
,6－8－9
,6－8－10
,8－9－10

■参考:2軸型(3〜9位相手),軸:8番ヘニーガイスト×6番チャーリー,"相手(3〜9位):5,10,4,9,3,1,7",7点
,1－6－8
,3－6－8
,4－6－8
,5－6－8
,6－7－8
,6－8－9
,6－8－10
