順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,2,2,デンプシー,+16.2,6.5,2人気,+3.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +0.4前々走好走 / +1.0血統距離適性 / +0.5枠番補正 / +1.0内枠先行 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,-1.0季節×性別 / -1.0ペース適性,好調子
2,3,4,ホウオウヘッセン,+10.1,10.7,4人気,+2.0調教評価 / +1.0叩き2戦目 / +1.2近走上昇傾向 / +0.4前走好走 / +0.5枠番補正 / +1.0内枠先行 / +5.0勝利数ボーナス / +1.0騎手フォーム,-1.0季節×性別 / -1.0ペース適性,状態良好
3,7,12,サンポーニャ,+9.9,38.5,12人気,+3.0調教評価 / +1.0叩き2戦目 / +2.5近走上昇傾向 / +0.4前走好走 / +0.5血統距離適性 / +2.5勝利数ボーナス,,好調持続
4,8,14,ミキノバカラ,+7.6,3.0,1人気,+2.0調教評価 / +1.2近走上昇傾向 / +0.4前走好走 / +0.5血統距離適性 / +2.5勝利数ボーナス / +2.0ペース適性,-1.0季節×性別,状態良好
5,4,5,マテンロウサン,+6.8,8.0,3人気,+3.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.2前々走好走 / +2.5勝利数ボーナス / +1.5ペース適性,-1.0長期休養明け / -0.5枠番補正 / -1.0季節×性別,態勢整う
6,5,7,ライツユーアップ,+5.5,29.0,11人気,+1.0調教評価 / +0.5血統距離適性 / +2.5勝利数ボーナス / +1.5ペース適性,,まずまず
7,6,10,ベルビースタローン,+5.1,11.1,5人気,+2.0調教評価 / +1.0叩き2戦目 / +1.2近走上昇傾向 / +0.4前々走好走 / +2.5勝利数ボーナス,-2.0ペース適性,伸び上々
8,3,3,サンドロナイト,+3.6,11.7,6人気,+1.0調教評価 / +0.6近走上昇傾向 / +0.5枠番補正 / +2.0ペース適性,-0.5前走ローカル,出来は良
9,6,9,ピースフルナイト,+3.5,44.8,14人気,+1.0調教評価 / +1.0叩き2戦目 / +1.5ペース適性,,終い重点
10,8,13,スイミーユニバンス,+3.0,15.7,9人気,+2.0前走3F最速 / +2.0ペース適性,-0.5血統距離適性 / -0.5前走ローカル,一歩前進
11,1,1,トウカイエルデ,+2.5,11.9,7人気,+1.0調教評価 / +1.0グレード実績(3-4走前) / +2.0ペース適性,-0.5血統距離適性 / -1.0季節×性別,元気一杯
12,5,8,ベビーズブレス,+2.5,13.8,8人気,+1.0調教評価 / +1.2近走上昇傾向 / +0.2前々走好走 / +0.5血統距離適性 / +1.0騎手フォーム,-0.5前走ローカル / -1.0ペース適性,まずまず
13,7,11,バシレウスシチー,+0.8,39.7,13人気,+1.0調教評価 / +1.2近走上昇傾向 / +1.0血統距離適性,-0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,出来は良
14,4,6,ニホンピロトッティ,-2.0,20.8,10人気,+1.0叩き2戦目,-0.5前走ローカル / -0.5枠番補正 / -2.0ペース適性,順調

■レース情報,芝1200m,202601010412,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位ホウオウヘッセン10.7倍（スコア差6.1pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:2番デンプシー / 相手(予想2〜6位):4,12,14,5,7",10点
,2－4－5
,2－4－7
,2－4－12
,2－4－14
,2－5－7
,2－5－12
,2－5－14
,2－7－12
,2－7－14
,2－12－14

■参考:2軸型(3〜9位相手),軸:2番デンプシー×4番ホウオウヘッセン,"相手(3〜9位):12,14,5,7,10,3,9",7点
,2－3－4
,2－4－5
,2－4－7
,2－4－9
,2－4－10
,2－4－12
,2－4－14
