順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,5,キスアンドクライ,+15.6,10.3,3人気,+1.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +0.5枠番補正 / +5.0勝利数ボーナス / +2.0騎手フォーム / +2.0ペース適性,,仕上良好
2,2,2,クライスレリアーナ,+12.0,2.5,2人気,+2.0前走3F最速 / +1.0調教評価 / +1.0叩き2戦目 / +0.2前々走好走 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス / +2.0騎手フォーム / +1.5ペース適性,-0.5枠番補正,好気合
3,7,8,ラベルセーヌ,+8.4,1.5,1人気,+3.0調教評価 / +0.4前走好走 / +0.5血統距離適性 / +5.0勝利数ボーナス / +1.0騎手フォーム,-0.5枠番補正 / -1.0ペース適性,気配抜群
4,8,10,メランジェ,+8.0,29.4,4人気,+1.5同コース実績 / +2.0調教評価 / +1.0血統距離適性 / +2.5勝利数ボーナス / +2.0ペース適性,-0.5前走ローカル / -0.5枠番補正,末脚良し
5,4,4,ジャンビ,+5.5,87.8,8人気,+1.0距離短縮 / +0.5枠番補正 / +2.5勝利数ボーナス / +2.0ペース適性,-0.5前走ローカル,前走並み
6,1,1,ウインベアトリス,+4.4,31.2,5人気,+0.4前々走好走 / +0.5血統距離適性 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-1.0長期休養明け / -2.0ペース適性,仕上がる
7,7,7,ビッグデイメイク,+3.0,351.3,10人気,+1.0距離短縮 / +1.0血統距離適性 / +2.0ペース適性,-0.5前走ローカル / -0.5枠番補正,いま一息
8,3,3,カフェアローロ,+1.0,105.5,9人気,+2.0ペース適性,-1.0調教評価,目立たず
9,6,6,ミラーダカリエンテ,-0.5,68.6,7人気,+0.5枠番補正,-1.0ペース適性,余力有り
10,8,9,ドリームクルーズ,-1.5,63.5,6人気,+1.0叩き2戦目 / +0.5血統距離適性,-0.5前走ローカル / -0.5枠番補正 / -2.0ペース適性,平行線

■レース情報,芝1800m,202604020506,良

■買いサイン,⚠ 見送り,乖離3.6pt（3〜5pt） / 2勝クラス（ROI47%）

■評価コメント
,乖離3.6pt：このゾーン（3〜5pt）はバックテストROI69%のため見送り。
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位クライスレリアーナ2.5倍（スコア差3.6pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:5番キスアンドクライ / 相手(予想2〜6位):2,8,10,4,1",10点
,1－2－5
,1－4－5
,1－5－8
,1－5－10
,2－4－5
,2－5－8
,2－5－10
,4－5－8
,4－5－10
,5－8－10

■参考:2軸型(3〜9位相手),軸:5番キスアンドクライ×2番クライスレリアーナ,"相手(3〜9位):8,10,4,1,7,3,6",7点
,1－2－5
,2－3－5
,2－4－5
,2－5－6
,2－5－7
,2－5－8
,2－5－10
