順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,1,1,レイニング,+11.6,4.0,2人気,+2.0前走3F最速 / +1.0調教評価 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +2.0騎手フォーム,-1.0季節×性別 / -1.0ペース適性,仕上上々
2,2,4,エストゥペンダ,+9.9,3.1,1人気,+3.0同コース実績 / +2.0調教評価 / +0.4前々走好走 / +5.0勝利数ボーナス / +1.0騎手フォーム,-0.5枠番補正 / -1.0ペース適性,馬体目立
3,3,6,ミアネーロ,+7.2,10.6,4人気,+3.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.5血統距離適性,-1.0ペース適性,好調子
4,8,15,シンハナーダ,+6.5,16.2,6人気,+2.5同コース実績 / +1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.5勝利数ボーナス,-0.5前走ローカル / -0.5枠番補正 / -1.0季節×性別 / -1.0ペース適性,一歩前進
5,7,13,ゴートゥファースト,+6.5,39.4,11人気,+3.0調教評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.0騎手フォーム / +0.5ペース適性,-0.5枠番補正 / -1.0季節×性別,気配抜群
6,2,3,ヴォンフレ,+5.4,23.5,8人気,+1.0同コース実績 / +1.0叩き2戦目 / +0.4前々走好走 / +0.5血統距離適性 / +1.0軽量馬加点 / +2.5勝利数ボーナス / +0.5ペース適性,-1.0調教評価 / -0.5枠番補正,伸び一息
7,4,7,レガーロデルシエロ,+5.0,5.2,3人気,+3.0調教評価 / +2.5近走上昇傾向 / +0.5前々走好走 / +0.5血統距離適性 / +0.5枠番補正,-1.0季節×性別 / -1.0ペース適性,好調子
8,5,10,セントメモリーズ,+4.0,138.9,15人気,+2.0調教評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +0.5枠番補正 / +1.0軽量馬加点,-1.0ペース適性,キビキビ
9,1,2,ヤマニンサンパ,+4.0,36.5,9人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0季節×性別 / -1.0ペース適性,追毎良化
10,6,12,ドラゴンヘッド,+3.2,53.3,14人気,+2.0同コース近距離実績 / +1.0調教評価 / +1.0叩き2戦目 / +0.2前々走好走 / +0.5枠番補正 / +1.0軽量馬加点,-0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,元気一杯
11,7,14,アンリーロード,+2.8,44.8,13人気,+1.0調教評価 / +1.2近走上昇傾向 / +1.0血統距離適性 / +1.0軽量馬加点,-0.5枠番補正 / -1.0ペース適性,仕上上々
12,3,5,ラインベック,+2.0,42.3,12人気,+1.0距離短縮 / +0.5血統距離適性 / +0.5ペース適性,,乗込入念
13,5,9,ジュンブロッサム,+1.5,17.4,7人気,+2.0前走3F最速 / +1.0調教評価 / +0.5枠番補正,-1.0季節×性別 / -1.0ペース適性,乗込十分
14,4,8,ディマイザキッド,+0.5,13.1,5人気,+1.0調教評価 / +1.0叩き2戦目 / +0.5枠番補正,-1.0季節×性別 / -1.0ペース適性,出来は良
15,8,16,コスモブッドレア,+0.5,144.2,16人気,+1.0調教評価 / +1.0距離短縮 / +2.0ペース適性,-0.5血統距離適性 / -0.5前走ローカル / -1.0長期休養明け / -0.5枠番補正 / -1.0季節×性別,仕上るも
16,6,11,ゴンバデカーブース,+0.5,36.6,10人気,+1.0叩き2戦目 / +0.5枠番補正 / +1.0騎手フォーム,-1.0季節×性別 / -1.0ペース適性,仕上がる

■レース情報,芝1800m,202604020507,良

■買いサイン,三連複1軸-相手5頭 (10点),横並び乖離-1.8pt / 16頭立て / 乖離-1.8pt/16頭

■評価コメント
,上位横並び（乖離-1.8pt）。1位を軸に固定し三連複1軸-相手5頭(10点)で相手をカバー。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:1番レイニング / 相手(予想2〜6位):4,6,15,13,3",10点
,1－3－4
,1－3－6
,1－3－13
,1－3－15
,1－4－6
,1－4－13
,1－4－15
,1－6－13
,1－6－15
,1－13－15

■参考:2軸型(3〜9位相手),軸:1番レイニング×4番エストゥペンダ,"相手(3〜9位):6,15,13,3,7,10,2",7点
,1－2－4
,1－3－4
,1－4－6
,1－4－7
,1－4－10
,1－4－13
,1－4－15
