順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,7,8,ウェイワードアクト,+10.2,3.0,1人気,+2.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +1.5複勝安定ボーナス / +5.0勝利数ボーナス / +1.0騎手フォーム,-1.0季節×性別 / -1.0ペース適性,力強い
2,3,3,ルクソールカフェ,+9.9,5.0,3人気,+2.0前走3F最速 / +1.0調教評価 / +1.0叩き2戦目 / +0.4前々走好走 / +1.5グレード実績(3-4走前) / +2.5勝利数ボーナス / +1.0騎手フォーム / +1.5ペース適性,-1.0季節×性別,仕上良好
3,6,6,ヴァルツァーシャル,+5.5,19.5,7人気,+1.0調教評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +1.5複勝安定ボーナス / +2.0ペース適性,-1.0季節×性別,追毎良化
4,5,5,テーオーパスワード,+5.1,4.3,2人気,+3.0調教評価 / +0.4前走好走 / +0.2前々走好走 / +2.5勝利数ボーナス / +1.0騎手フォーム,-1.0季節×性別 / -1.0ペース適性,文句なし
5,7,9,ヒルノハンブルク,+5.0,55.0,10人気,+2.0調教評価 / +1.0グレード実績(3-4走前) / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-1.0季節×性別 / -1.0ペース適性,出来安定
6,8,11,ペリエール,+4.5,6.5,4人気,+3.0調教評価 / +1.0叩き2戦目 / +1.5ペース適性,-1.0季節×性別,動き一変
7,1,1,アクションプラン,+4.5,47.8,9人気,+2.0調教評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.5複勝安定ボーナス / +1.5ペース適性,-2.0枠番補正 / -1.0季節×性別,好気配
8,8,10,オメガギネス,+2.5,10.5,6人気,+2.0調教評価 / +1.5ペース適性,-1.0季節×性別,態勢整う
9,4,4,ナチュラルライズ,+1.5,9.4,5人気,+1.0調教評価 / +1.0距離短縮 / +0.5血統距離適性 / +1.0騎手フォーム,-1.0季節×性別 / -1.0ペース適性,変身注
10,2,2,レヴォントゥレット,-0.5,21.7,8人気,+2.0調教評価 / +0.5血統距離適性 / +1.0内枠先行,-2.0枠番補正 / -1.0季節×性別 / -1.0ペース適性,出来安定
11,6,7,テーオードレフォン,-1.0,249.2,11人気,+1.0調教評価 / +0.5血統距離適性,-0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,気配上昇

■レース情報,ダート1700m,202601010511,

■買いサイン,⚠ 見送り,GIII（三連複ROI6%以下・n=92）

■評価コメント
,重賞クラス：三連複ROI6%以下（n=92）。買い条件を満たさない。
,2位ウェイワードアクト3.0倍（スコア差-0.4pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:8番ウェイワードアクト / 相手(予想2〜6位):3,6,5,9,11",10点
,3－5－8
,3－6－8
,3－8－9
,3－8－11
,5－6－8
,5－8－9
,5－8－11
,6－8－9
,6－8－11
,8－9－11

■参考:2軸型(3〜9位相手),軸:8番ウェイワードアクト×3番ルクソールカフェ,"相手(3〜9位):6,5,9,11,1,10,4",7点
,1－3－8
,3－4－8
,3－5－8
,3－6－8
,3－8－9
,3－8－10
,3－8－11
