順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,7,レイユール,+7.5,36.0,10人気,+2.0同コース近距離実績 / +1.0調教評価 / +3.8近走上昇傾向 / +0.2前走好走 / +0.5血統距離適性,,動き軽快
2,4,5,ウインイザナミ,+7.4,26.8,9人気,+1.0調教評価 / +2.5近走上昇傾向 / +0.4前々走好走 / +1.0血統距離適性 / +2.5勝利数ボーナス,,気配上々
3,7,10,ブラックジェダイト,+7.4,6.2,3人気,+2.0前走3F最速 / +1.0調教評価 / +1.2近走上昇傾向 / +0.2前走好走 / +0.4前々走好走 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-0.5血統距離適性 / -1.0季節×性別,動き軽快
4,7,11,ジーネキング,+5.2,3.3,1人気,+2.0調教評価 / +2.5近走上昇傾向 / +0.2前走好走 / +0.5血統距離適性 / +1.0騎手フォーム,-1.0季節×性別,状態良好
5,6,9,レッドスティンガー,+3.1,4.6,2人気,+3.0調教評価 / +1.2近走上昇傾向 / +0.4前々走好走 / +2.5勝利数ボーナス / +1.0騎手フォーム,-5.0初馬場種別 / -1.0季節×性別,態勢万全
6,1,1,アスミル,+2.6,18.7,8人気,+2.0調教評価 / +0.6近走上昇傾向 / +1.0内枠先行,-1.0季節×性別,好気配
7,8,13,オーシャントライブ,+2.5,139.1,12人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,-1.0長期休養明け,仕上良好
8,5,6,スミレファースト,+1.5,284.5,13人気,+1.0調教評価 / +1.0叩き2戦目,-0.5前走ローカル,出来は良
9,6,8,ヒズマスターピース,+1.5,9.5,6人気,+1.0調教評価 / +1.0叩き2戦目,-0.5前走ローカル,気配上々
10,4,4,マーゴットブロー,+1.4,13.2,7人気,+1.0叩き2戦目 / +0.4前々走好走 / +2.5勝利数ボーナス,-1.0調教評価 / -0.5前走ローカル / -1.0季節×性別,目立たず
11,2,2,ホウキボシ,+0.6,8.2,5人気,+1.0調教評価 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +2.2複勝安定ボーナス / +1.0騎手フォーム,-5.0初馬場種別,動き軽快
12,3,3,ルクスジニア,+0.5,8.0,4人気,+0.5血統距離適性,,仕上十分
13,8,12,ヴィンブルレー,-1.1,56.2,11人気,+0.4前々走好走 / +2.5勝利数ボーナス / +1.0騎手フォーム,-5.0初馬場種別,仕上十分

■レース情報,芝1500m,202601010512,

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位ウインイザナミ26.8倍：相手を絞り込みにくく三連複の期待値も低い。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:7番レイユール / 相手(予想2〜6位):5,10,11,9,1",10点
,1－5－7
,1－7－9
,1－7－10
,1－7－11
,5－7－9
,5－7－10
,5－7－11
,7－9－10
,7－9－11
,7－10－11

■参考:2軸型(3〜9位相手),軸:7番レイユール×5番ウインイザナミ,"相手(3〜9位):10,11,9,1,13,6,8",7点
,1－5－7
,5－6－7
,5－7－8
,5－7－9
,5－7－10
,5－7－11
,5－7－13
