順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,8,カレンデュラ,+13.8,13.3,6人気,+3.0同コース実績 / +1.0調教評価 / +1.2近走上昇傾向 / +0.4前走好走 / +0.4前々走好走 / +0.5血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,,動き上々
2,1,2,ラヴェンデル,+13.6,45.5,9人気,+3.0同コース実績 / +1.0調教評価 / +3.8近走上昇傾向 / +0.4前走好走 / +1.0血統距離適性 / +2.5勝利数ボーナス / +2.0騎手フォーム,,仕上り早
3,6,12,レジーナローズ,+11.1,9.4,4人気,+3.0同コース実績 / +1.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +2.5勝利数ボーナス,-0.5血統距離適性,追毎良化
4,6,11,ハニーローリエ,+10.0,2.5,1人気,+2.0同コース近距離実績 / +2.0調教評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +0.2前走好走 / +0.2前々走好走 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス,-0.5血統距離適性 / -1.0ペース適性,キビキビ
5,8,17,クールベイビー,+8.0,4.2,2人気,+2.0同コース近距離実績 / +1.0調教評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.0騎手フォーム / +1.5ペース適性,,動き軽快
6,7,14,ラブディーヴァ,+5.0,24.4,7人気,+1.0距離短縮 / +0.5血統距離適性 / +2.5勝利数ボーナス / +2.0ペース適性,-1.0調教評価,変わらず
7,4,7,ラトルシェ,+4.5,62.3,10人気,+1.0調教評価 / +1.0距離短縮 / +0.5血統距離適性 / +1.0騎手フォーム / +1.5ペース適性,-0.5前走ローカル,仕上るも
8,7,13,ロードトレゾール,+3.4,5.2,3人気,+2.0調教評価 / +2.5近走上昇傾向 / +1.0距離短縮 / +0.4前々走好走 / +1.0血統距離適性,-0.5前走ローカル / -1.0季節×性別 / -2.0ペース適性,出来安定
9,5,9,サトノアルペジオ,+3.0,104.6,14人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性 / +2.5勝利数ボーナス / +2.0ペース適性,-5.0初馬場種別,出来は良
10,3,5,スペルキャスター,+1.9,75.6,12人気,+2.0前走3F最速 / +1.0調教評価 / +0.4前走好走 / +1.0血統距離適性 / +2.0ペース適性,-4.0特殊条件 / -0.5前走ローカル,出来は良
11,8,15,キントラダンサー,+1.8,11.4,5人気,+2.0調教評価 / +1.2近走上昇傾向 / +1.0距離短縮,-0.5血統距離適性 / -2.0ペース適性,末脚良し
12,2,3,リュウノタブーク,+0.8,351.6,17人気,+1.0距離短縮 / +0.2前々走好走 / +1.0内枠先行,-0.5血統距離適性 / -1.0ペース適性,仕上十分
13,2,4,ミスエル,+0.2,251.0,16人気,+1.0調教評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +2.0ペース適性,-5.0初馬場種別 / -1.0季節×性別,動き軽快
14,1,1,クォーツァイト,+0.0,167.1,15人気,+1.0調教評価 / +1.0距離短縮 / +0.5血統距離適性,-0.5前走ローカル / -2.0ペース適性,攻馬良化
15,8,16,メッエフアパラ,-0.5,29.7,8人気,+1.0叩き2戦目 / +1.0距離短縮 / +2.5勝利数ボーナス,-5.0初馬場種別 / -1.0季節×性別 / -2.0ペース適性,平行線
16,5,10,ペイシャヴァルツー,-0.9,73.6,11人気,+1.0調教評価 / +0.6近走上昇傾向,-0.5前走ローカル / -2.0ペース適性,出来は良
17,3,6,ゼンダンタカ,-1.5,90.6,13人気,+1.0叩き2戦目 / +1.0距離短縮,-1.0調教評価 / -0.5前走ローカル / -2.0ペース適性,目立たず

■レース情報,芝1000m,202604020608,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位ラヴェンデル45.5倍：相手を絞り込みにくく三連複の期待値も低い。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:8番カレンデュラ / 相手(予想2〜6位):2,12,11,17,14",10点
,2－8－11
,2－8－12
,2－8－14
,2－8－17
,8－11－12
,8－11－14
,8－11－17
,8－12－14
,8－12－17
,8－14－17

■参考:2軸型(3〜9位相手),軸:8番カレンデュラ×2番ラヴェンデル,"相手(3〜9位):12,11,17,14,7,13,9",7点
,2－7－8
,2－8－9
,2－8－11
,2－8－12
,2－8－13
,2－8－14
,2－8－17
