順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,5,パリコレジェンヌ,+15.6,9.9,5人気,+3.0同コース実績 / +2.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +1.0血統距離適性 / +2.5勝利数ボーナス / +2.0急坂パワー,,出来安定
2,7,9,シラヌイ,+12.1,5.1,3人気,+2.0調教評価 / +1.0叩き2戦目 / +0.4前々走好走 / +5.0勝利数ボーナス / +1.0騎手フォーム / +1.2急坂パワー / +1.5ペース適性,,末脚良し
3,8,11,インフローレ,+11.0,13.4,6人気,+3.0調教評価 / +3.8近走上昇傾向 / +0.2前走好走 / +1.0騎手フォーム / +2.0急坂パワー / +1.5ペース適性,-0.5血統距離適性,好調持続
4,2,2,ハルオーブ,+9.1,54.7,10人気,+1.0調教評価 / +2.5近走上昇傾向 / +0.4前々走好走 / +0.5枠番補正 / +2.5勝利数ボーナス / +1.2急坂パワー / +2.0ペース適性,-1.0季節×性別,出来は良
5,3,3,ヒーローインチーフ,+3.9,16.4,8人気,+1.0調教評価 / +0.4前々走好走 / +0.5枠番補正 / +2.0ペース適性,,出来は良
6,6,7,トップアタック,+3.4,3.3,1人気,+1.0調教評価 / +0.4前々走好走 / +2.5勝利数ボーナス / +2.0騎手フォーム,-0.5血統距離適性 / -1.0季節×性別 / -1.0ペース適性,出来は良
7,6,6,タミゼ,+2.5,165.0,11人気,+2.0前走3F最速 / +1.5ペース適性,-0.5血統距離適性 / -0.5前走ローカル,前走並み
8,8,10,フォーゲル,+2.4,3.4,2人気,+1.0調教評価 / +0.6近走上昇傾向 / +0.2前々走好走 / +0.5血統距離適性 / +2.0騎手フォーム,-1.0季節×性別 / -1.0ペース適性,仕上上々
9,4,4,モンサンゴールデン,+2.0,15.2,7人気,+1.0調教評価 / +0.4前々走好走 / +2.5勝利数ボーナス / +0.6急坂パワー,-0.5枠番補正 / -1.0季節×性別 / -1.0ペース適性,動き上々
10,1,1,モンテディアーナ,+1.7,7.8,4人気,+1.0調教評価 / +1.0叩き2戦目 / +0.6近走上昇傾向 / +0.4前々走好走 / +1.0血統距離適性 / +2.5勝利数ボーナス / +1.2急坂パワー,-5.0初馬場種別 / -1.0長期休養明け,追毎良化
11,7,8,ファイツオン,+0.4,46.1,9人気,+1.0調教評価 / +1.0叩き2戦目 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,-0.5前走ローカル / -1.0季節×性別 / -2.0ペース適性,一歩前進

■レース情報,芝1200m,202607020706,良

■買いサイン,⚠ 見送り,乖離3.6pt（3〜5pt） / 2勝クラス（ROI47%）

■評価コメント
,乖離3.6pt：このゾーン（3〜5pt）はバックテストROI69%のため見送り。
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位シラヌイ5.1倍（スコア差3.6pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:5番パリコレジェンヌ / 相手(予想2〜6位):9,11,2,3,7",10点
,2－3－5
,2－5－7
,2－5－9
,2－5－11
,3－5－7
,3－5－9
,3－5－11
,5－7－9
,5－7－11
,5－9－11

■参考:2軸型(3〜9位相手),軸:5番パリコレジェンヌ×9番シラヌイ,"相手(3〜9位):11,2,3,7,6,10,4",7点
,2－5－9
,3－5－9
,4－5－9
,5－6－9
,5－7－9
,5－9－10
,5－9－11
