順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,5,ロードフィレール,+17.4,3.0,2人気,+2.0前走3F最速 / +2.5同コース実績 / +3.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス / +2.0騎手フォーム,-1.0季節×性別 / -1.0ペース適性,好調子
2,1,1,ダノンピクチャー,+14.4,39.6,5人気,+1.0調教評価 / +3.8近走上昇傾向 / +1.0距離短縮 / +0.4前走好走 / +0.2前々走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +1.0枠番補正 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス / +2.0ペース適性,-1.0季節×性別,気配上々
3,3,4,ランツフート,+12.1,75.4,7人気,+2.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +1.0距離短縮 / +0.4前々走好走 / +2.5勝利数ボーナス / +1.0騎手フォーム / +1.5ペース適性,-1.0季節×性別,迫力十分
4,7,12,ブラックオリンピア,+12.1,1.5,1人気,+3.0調教評価 / +1.0距離短縮 / +0.4前々走好走 / +0.5血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +2.0騎手フォーム,-1.0季節×性別 / -1.0ペース適性,態勢万全
5,6,9,キングズトゥルー,+11.4,28.6,4人気,+2.5同コース実績 / +1.0調教評価 / +1.0叩き2戦目 / +2.5近走上昇傾向 / +1.0距離短縮 / +0.4前々走好走 / +2.5勝利数ボーナス / +2.0ペース適性,-0.5前走ローカル / -1.0季節×性別,出来は良
6,4,6,ファーングロット,+9.5,6.9,3人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.2前々走好走 / +1.0血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,-1.0季節×性別 / -1.0ペース適性,動き上々
7,5,7,サミダレナイツ,+8.6,65.8,6人気,+1.0調教評価 / +3.8近走上昇傾向 / +0.4前走好走 / +2.5勝利数ボーナス / +2.0ペース適性,-1.0季節×性別,追毎良化
8,3,3,ゴールデンパゴーダ,+7.9,121.2,10人気,+2.0調教評価 / +1.0距離短縮 / +0.4前々走好走 / +1.0内枠先行 / +5.0勝利数ボーナス,-0.5前走ローカル / -1.0ペース適性,好気配
9,5,8,ビップチェイス,+7.5,130.3,11人気,+2.0調教評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.5勝利数ボーナス / +1.5ペース適性,-1.0季節×性別,状態良好
10,7,11,オールマイデイズ,+4.5,96.5,8人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性 / +2.0ペース適性,-1.0季節×性別,追毎良化
11,8,13,パッションリッチ,+3.5,,,+2.0同コース近距離実績 / +1.0調教評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +1.0血統距離適性,-0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,仕上良好
12,2,2,プリズマジコ,+2.5,,,+2.0調教評価 / +1.0血統距離適性 / +1.5ペース適性,-0.5前走ローカル / -0.5枠番補正 / -1.0季節×性別,末脚良し
13,8,14,ズイウンゴサイ,+1.1,107.4,9人気,+0.6近走上昇傾向 / +0.5血統距離適性 / +2.0ペース適性,-1.0調教評価 / -1.0季節×性別,多少良化
14,6,10,バンフィエルド,+1.0,429.4,12人気,+1.0距離短縮 / +0.5血統距離適性 / +1.5ペース適性,-1.0調教評価 / -1.0季節×性別,動き平凡

■レース情報,芝2200m,202604020706,良

■買いサイン,⚠ 見送り,乖離3.0pt（3〜5pt） / 2勝クラス（ROI47%）

■評価コメント
,乖離3.0pt：このゾーン（3〜5pt）はバックテストROI69%のため見送り。
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位ダノンピクチャー39.6倍：相手を絞り込みにくく三連複の期待値も低い。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:5番ロードフィレール / 相手(予想2〜6位):1,4,12,9,6",10点
,1－4－5
,1－5－6
,1－5－9
,1－5－12
,4－5－6
,4－5－9
,4－5－12
,5－6－9
,5－6－12
,5－9－12

■参考:2軸型(3〜9位相手),軸:5番ロードフィレール×1番ダノンピクチャー,"相手(3〜9位):4,12,9,6,7,3,8",7点
,1－3－5
,1－4－5
,1－5－6
,1－5－7
,1－5－8
,1－5－9
,1－5－12
