順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,9,イノセントキャット,+7.5,65.4,13人気,+2.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +2.5勝利数ボーナス / +1.5ペース適性,-0.5血統距離適性,態勢整う
2,7,13,スノーサイレンス,+7.2,9.0,4人気,+2.0調教評価 / +0.2前走好走 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス / +1.5ペース適性,,状態良好
3,2,3,ペレグリン,+6.9,57.8,12人気,+1.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0内枠先行 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-2.0枠番補正 / -1.0ペース適性,仕上り早
4,3,4,ライトニングゼウス,+6.9,10.1,5人気,+1.0調教評価 / +0.4前走好走 / +0.2前々走好走 / +1.0グレード実績(3-4走前) / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,-1.0季節×性別 / -2.0ペース適性,動き上々
5,8,15,イリフィ,+6.2,4.2,1人気,+2.0調教評価 / +0.2前々走好走 / +2.5勝利数ボーナス / +1.5ペース適性,,キビキビ
6,2,2,クリノオリーブ,+5.2,29.0,11人気,+3.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +0.4前々走好走 / +1.0内枠先行 / +2.5勝利数ボーナス,-2.0枠番補正 / -1.0ペース適性,好調子
7,1,1,アメリカンチケット,+4.9,5.3,2人気,+3.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0内枠先行 / +2.5勝利数ボーナス,-2.0枠番補正 / -1.0ペース適性,好調子
8,8,14,パラサイコロジー,+4.5,23.4,10人気,+2.0前走3F最速 / +1.0調教評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +2.5勝利数ボーナス,-0.5前走ローカル / -2.0ペース適性,仕上上々
9,4,7,エンヤラヴフェイス,+4.0,11.9,7人気,+2.0前走3F最速 / +1.0調教評価 / +2.0ペース適性,-1.0季節×性別,追毎良化
10,4,6,ハクサンアイリス,+3.8,5.6,3人気,+2.0調教評価 / +0.2前々走好走 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス,-1.0季節×性別 / -1.0ペース適性,前走以上
11,5,8,スプランドゥール,+3.5,89.7,14人気,+1.0距離短縮 / +2.5勝利数ボーナス / +2.0ペース適性,-1.0調教評価 / -1.0季節×性別,気配平凡
12,3,5,ワークソング,+3.0,14.8,8人気,+1.0調教評価 / +1.0距離短縮 / +2.0ペース適性,-1.0季節×性別,仕上上々
13,7,12,ビバップ,+2.5,94.2,15人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス,-1.0季節×性別 / -2.0ペース適性,仕上良好
14,6,10,フウセツ,+1.0,15.8,9人気,+3.0調教評価 / +1.0距離短縮,-1.0季節×性別 / -2.0ペース適性,気配抜群
15,6,11,ヴェロクオーレ,+1.0,10.3,6人気,+3.0調教評価,-0.5血統距離適性 / -0.5前走ローカル / -1.0ペース適性,好調持続

■レース情報,ダート1200m,202604020707,良

■買いサイン,三連複1軸-相手5頭 (10点),横並び乖離0.2pt / 15頭立て / 軸65.4倍(高配当帯) / 乖離0.2pt/15頭

■評価コメント
,上位横並び（乖離0.2pt）。1位を軸に固定し三連複1軸-相手5頭(10点)で相手をカバー。
,軸65.4倍(高配当帯)：当たれば妙味大だが軸が飛ぶと全外れのため妙味重視の一番。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:9番イノセントキャット / 相手(予想2〜6位):13,3,4,15,2",10点
,2－3－9
,2－4－9
,2－9－13
,2－9－15
,3－4－9
,3－9－13
,3－9－15
,4－9－13
,4－9－15
,9－13－15

■参考:2軸型(3〜9位相手),軸:9番イノセントキャット×13番スノーサイレンス,"相手(3〜9位):3,4,15,2,1,14,7",7点
,1－9－13
,2－9－13
,3－9－13
,4－9－13
,7－9－13
,9－13－14
,9－13－15
