順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,7,セボンサデッセ,+12.9,4.2,2人気,+3.0同コース実績 / +2.0調教評価 / +0.4前走好走 / +0.2前々走好走 / +1.0グレード実績(3-4走前) / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,-1.0季節×性別,出来安定
2,3,3,キャットテイル,+12.2,8.5,3人気,+3.0同コース実績 / +2.0調教評価 / +0.4前走好走 / +0.4前々走好走 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,,出来安定
3,6,10,モズカトレア,+7.0,16.4,8人気,+2.0調教評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +2.5勝利数ボーナス,-0.5前走ローカル,好気配
4,7,12,アスクケンタッキー,+6.9,17.2,9人気,+2.0前走3F最速 / +2.0調教評価 / +0.4前々走好走 / +5.0勝利数ボーナス,-1.0距離延長 / -0.5前走ローカル / -1.0季節×性別,攻め強化
5,2,2,マンオブザマッチ,+4.9,11.5,5人気,+1.0調教評価 / +0.4前々走好走 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-2.0枠番補正 / -1.0季節×性別,動き軽快
6,8,13,ロードブレイズ,+4.4,14.5,7人気,+1.0調教評価 / +1.0距離短縮 / +0.4前走好走 / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0季節×性別,仕上上々
7,7,11,アイウィル,+4.0,4.1,1人気,+2.0調教評価 / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0季節×性別,出来安定
8,8,14,スマートカイロス,+3.4,,,+1.0調教評価 / +1.0叩き2戦目 / +0.4前々走好走 / +2.5勝利数ボーナス,-0.5前走ローカル / -1.0季節×性別,一歩前進
9,5,8,トルショー,+1.9,20.2,11人気,+0.4前々走好走 / +2.5勝利数ボーナス,-1.0季節×性別,仕上十分
10,3,4,ノーブルスカイ,+0.5,29.3,12人気,+1.0調教評価 / +1.0叩き2戦目,-0.5前走ローカル / -1.0季節×性別,変身注
11,4,5,ゲキザル,-0.5,11.9,6人気,+1.0調教評価,-0.5前走ローカル / -1.0季節×性別,元気一杯
12,4,6,レーウィン,-1.0,17.6,10人気,,-1.0調教評価,完調手前
13,6,9,キュールエフウジン,-1.5,143.2,13人気,,-0.5前走ローカル / -1.0季節×性別,いま一息
14,1,1,プロミシングスター,-2.0,9.4,4人気,+1.0調教評価,-2.0枠番補正 / -1.0季節×性別,出来は良

■レース情報,ダート1700m,202601010711,良

■買いサイン,🏇 三連単A+B推奨,3勝クラス×4.2倍 / 乖離0.6pt 14頭 / A+B 24点

■評価コメント
,3勝クラス×4.2倍：三連単A+Bフォーメーション推奨（ROI241%・ヒット率24%）。
,[A] セボンサデッセ（1着固定）× 紐4頭（2-3着）12点
,[B] 紐4頭（1着）× セボンサデッセ（2着固定）× 紐4頭（3着）12点

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:7番セボンサデッセ / 相手(予想2〜6位):3,10,12,2,13",10点
,2－3－7
,2－7－10
,2－7－12
,2－7－13
,3－7－10
,3－7－12
,3－7－13
,7－10－12
,7－10－13
,7－12－13

■参考:2軸型(3〜9位相手),軸:7番セボンサデッセ×3番キャットテイル,"相手(3〜9位):10,12,2,13,11,14,8",7点
,2－3－7
,3－7－8
,3－7－10
,3－7－11
,3－7－12
,3－7－13
,3－7－14
