順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,5,ラストレガシー,+6.4,2.3,1人気,+3.0同コース実績 / +1.0調教評価 / +0.4前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0季節×性別 / -1.0ペース適性,出来は良
2,2,2,カレンワッツアップ,+5.5,8.5,3人気,+1.0同コース実績 / +1.0調教評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +2.5勝利数ボーナス / +0.5ペース適性,-1.0季節×性別,余力十分
3,4,4,カゼノタカトシ,+5.0,14.9,6人気,+3.0同コース実績 / +1.0調教評価 / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0季節×性別 / -1.0ペース適性,仕上るも
4,5,7,アンドリーナ,+5.0,9.8,4人気,+2.0調教評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +2.0ペース適性,-0.5前走ローカル,出来安定
5,8,12,ブレードサクセス,+4.9,3.4,2人気,+1.0調教評価 / +0.4前々走好走 / +2.5勝利数ボーナス / +2.0騎手フォーム,-1.0季節×性別,追毎良化
6,7,10,コスモコンフェルマ,+2.5,11.1,5人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5ペース適性,-1.0季節×性別,気配上々
7,6,9,クリフハンガー,+2.0,70.0,12人気,+1.0調教評価 / +1.0距離短縮 / +0.5血統距離適性 / +2.5勝利数ボーナス / +2.0ペース適性,-5.0初馬場種別 / -0.5前走ローカル,出来は良
8,8,13,コーリンカルベラ,+0.5,27.8,7人気,+2.0調教評価 / +0.5血統距離適性,-1.0季節×性別 / -1.0ペース適性,実戦向き
9,3,3,ダディーズトリップ,+0.0,58.9,11人気,+2.0調教評価,-1.0季節×性別 / -1.0ペース適性,伸び上々
10,5,6,フリーマントル,+0.0,28.8,8人気,+1.0叩き2戦目 / +0.5ペース適性,-0.5前走ローカル / -1.0季節×性別,反応平凡
11,6,8,ルーラーリッチ,+0.0,94.3,13人気,+1.0叩き2戦目 / +0.5血統距離適性,-0.5前走ローカル / -1.0ペース適性,平行線
12,7,11,ヴォルスター,-1.2,46.6,10人気,+2.0前走3F最速 / +1.0調教評価 / +0.4前走好走 / +0.4前々走好走,-4.0特殊条件 / -0.5前走ローカル / -1.0季節×性別,急仕上げ
13,1,1,リラゲイル,-1.6,33.1,9人気,+1.0叩き2戦目 / +0.4前々走好走,-1.0調教評価 / -1.0季節×性別 / -1.0ペース適性,多少良化

■レース情報,ダート1800m,202604020808,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位カレンワッツアップ8.5倍（スコア差0.9pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:5番ラストレガシー / 相手(予想2〜6位):2,4,7,12,10",10点
,2－4－5
,2－5－7
,2－5－10
,2－5－12
,4－5－7
,4－5－10
,4－5－12
,5－7－10
,5－7－12
,5－10－12

■参考:2軸型(3〜9位相手),軸:5番ラストレガシー×2番カレンワッツアップ,"相手(3〜9位):4,7,12,10,9,13,3",7点
,2－3－5
,2－4－5
,2－5－7
,2－5－9
,2－5－10
,2－5－12
,2－5－13
