順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,7,9,ウーマンズパワー,+14.2,5.4,4人気,+3.0同コース実績 / +2.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +0.4前々走好走 / +1.0血統距離適性 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,,出来安定
2,1,1,カッタッパ,+7.9,44.2,9人気,+3.0調教評価 / +1.0距離短縮 / +0.4前走好走 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-2.0枠番補正 / -1.0季節×性別,好調子
3,3,3,キャリーグレイス,+7.4,20.8,7人気,+2.0調教評価 / +0.4前走好走 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス / +1.0騎手フォーム,,状態良好
4,5,6,マメタンク,+7.4,3.1,1人気,+2.0前走3F最速 / +2.0調教評価 / +0.4前々走好走 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-1.0季節×性別,力強い
5,8,12,キーガッツ,+5.9,23.7,8人気,+2.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.4前々走好走 / +2.5勝利数ボーナス / +1.0騎手フォーム,-0.5血統距離適性 / -0.5前走ローカル / -1.0季節×性別,遅れ上々
6,6,8,クインズシフォン,+5.0,19.1,6人気,+1.0調教評価 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,,出来は良
7,7,10,パールフロント,+4.2,3.3,2人気,+1.0同コース実績 / +3.0調教評価 / +0.2前々走好走,,好調子
8,6,7,タッカージーティー,+2.5,5.2,3人気,+2.0調教評価 / +1.0騎手フォーム,-0.5前走ローカル,キビキビ
9,5,5,ストロングボンド,+1.0,311.5,12人気,+2.5勝利数ボーナス,-1.0調教評価 / -0.5前走ローカル,変わらず
10,4,4,オセアエクスプレス,+0.5,75.9,10人気,+1.0調教評価 / +1.0叩き2戦目,-0.5前走ローカル / -1.0季節×性別,まずまず
11,8,11,フェデルミエール,+0.0,142.1,11人気,+1.0叩き2戦目 / +1.0距離短縮,-1.0調教評価 / -0.5血統距離適性 / -0.5前走ローカル,伸び一息
12,2,2,ビーマックス,-0.2,14.3,5人気,+1.0調教評価 / +0.2前々走好走 / +2.0騎手フォーム,-0.5血統距離適性 / -2.0枠番補正 / -1.0季節×性別,出来は良

■レース情報,ダート1000m,202601010810,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位カッタッパ44.2倍：相手を絞り込みにくく三連複の期待値も低い。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:9番ウーマンズパワー / 相手(予想2〜6位):1,3,6,12,8",10点
,1－3－9
,1－6－9
,1－8－9
,1－9－12
,3－6－9
,3－8－9
,3－9－12
,6－8－9
,6－9－12
,8－9－12

■参考:2軸型(3〜9位相手),軸:9番ウーマンズパワー×1番カッタッパ,"相手(3〜9位):3,6,12,8,10,7,5",7点
,1－3－9
,1－5－9
,1－6－9
,1－7－9
,1－8－9
,1－9－10
,1－9－12
