順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,4,マイネルゼウス,+12.4,45.9,8人気,+3.0調教評価 / +2.5近走上昇傾向 / +0.4前走好走 / +1.0内枠先行 / +2.5勝利数ボーナス / +2.0騎手フォーム / +2.0ペース適性,-1.0季節×性別,好調持続
2,3,3,ゲンジ,+9.1,19.3,5人気,+1.0調教評価 / +3.8近走上昇傾向 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +2.5勝利数ボーナス / +0.5ペース適性,-1.0季節×性別,動き軽快
3,6,9,サラトガチップス,+9.0,14.1,3人気,+2.0前走3F最速 / +1.0調教評価 / +1.0叩き2戦目 / +1.2近走上昇傾向 / +0.2前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.5複勝安定ボーナス / +1.0騎手フォーム / +0.5ペース適性,-1.0季節×性別,気配上々
4,2,2,ダノンヒストリー,+8.9,1.2,1人気,+3.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +5.0勝利数ボーナス,-1.0季節×性別 / -1.0ペース適性,好調持続
5,7,12,ジュンツバメガエシ,+8.5,9.3,2人気,+2.0同コース近距離実績 / +1.0調教評価 / +0.2前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.2複勝安定ボーナス / +2.0騎手フォーム / +0.5ペース適性,-1.0季節×性別,終い重点
6,1,1,レイデラティエラ,+7.9,20.1,6人気,+3.0同コース実績 / +1.0調教評価 / +2.5近走上昇傾向 / +0.4前走好走 / +2.5勝利数ボーナス,-0.5血統距離適性 / -1.0季節×性別,まずまず
7,8,14,リアルファインド,+5.6,47.3,9人気,+1.0調教評価 / +1.0叩き2戦目 / +0.6近走上昇傾向 / +2.5勝利数ボーナス / +2.0ペース適性,-0.5血統距離適性 / -1.0季節×性別,変身注
8,8,13,ラーシャローム,+5.2,25.0,7人気,+1.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.5ペース適性,-1.0季節×性別,動き軽快
9,4,6,アスクデッドヒート,+3.2,15.9,4人気,+2.0調教評価 / +0.2前々走好走 / +0.5血統距離適性 / +2.5勝利数ボーナス,-1.0季節×性別 / -1.0ペース適性,状態良好
10,5,7,ブリヤディアマンテ,+2.5,156.4,12人気,+1.0叩き2戦目 / +1.0血統距離適性 / +2.5勝利数ボーナス / +1.0騎手フォーム,-1.0調教評価 / -1.0季節×性別 / -1.0ペース適性,多少良化
11,4,5,パープルクラウド,+2.0,313.9,14人気,+1.0調教評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +0.5ペース適性,-1.0季節×性別,仕上るも
12,5,8,レイデラルース,+1.5,99.9,11人気,+1.0調教評価 / +1.0叩き2戦目 / +0.5血統距離適性 / +0.5ペース適性,-0.5前走ローカル / -1.0季節×性別,動き上々
13,7,11,ライフセービング,+1.5,54.7,10人気,+1.0調教評価 / +2.5近走上昇傾向,-1.0季節×性別 / -1.0ペース適性,元気一杯
14,6,10,ドッビアーコ,+1.2,221.2,13人気,+1.2近走上昇傾向 / +0.5ペース適性,-0.5前走ローカル,好時計

■レース情報,芝2600m,202601010812,良

■買いサイン,⚠ 見送り,乖離3.2pt（3〜5pt） / 2勝クラス（ROI47%）

■評価コメント
,乖離3.2pt：このゾーン（3〜5pt）はバックテストROI69%のため見送り。
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位ゲンジ19.3倍（スコア差3.2pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:4番マイネルゼウス / 相手(予想2〜6位):3,9,2,12,1",10点
,1－2－4
,1－3－4
,1－4－9
,1－4－12
,2－3－4
,2－4－9
,2－4－12
,3－4－9
,3－4－12
,4－9－12

■参考:2軸型(3〜9位相手),軸:4番マイネルゼウス×3番ゲンジ,"相手(3〜9位):9,2,12,1,14,13,6",7点
,1－3－4
,2－3－4
,3－4－6
,3－4－9
,3－4－12
,3－4－13
,3－4－14
