順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント,総合点,能力指数,旧順位
1,2,2,サウンドムーブ,+18.1,4.0,2人気,+2.0前走3F最速 / +2.0同コース近距離実績 / +3.0調教評価 / +1.0叩き2戦目 / +0.6近走上昇傾向 / +1.0距離短縮 / +3.5クラス実績(格×着差) / +1.0血統距離適性 / +1.5複勝安定ボーナス / +3.0急坂パワー / +0.5ペース適性,-1.0季節×性別,好調持続,65.5,73.8,1
2,5,8,インパクトシー,+14.8,2.9,1人気,+3.0同コース実績 / +2.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.2前々走好走 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス / +1.5急坂パワー / +0.5ペース適性,-1.0季節×性別,末脚良し,58.1,70.3,2
3,8,14,テンミラクルスター,+12.1,16.7,7人気,+1.5同コース実績 / +1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス / +0.1急坂パワー / +0.5ペース適性,,変身注,58.1,69.5,5
4,3,3,ソルトブリーズ,+14.3,13.9,6人気,+2.5同コース実績 / +2.0調教評価 / +2.5近走上昇傾向 / +1.0距離短縮 / +0.2前走好走 / +0.4前々走好走 / +1.0内枠先行 / +2.5勝利数ボーナス / +1.2急坂パワー / +2.0ペース適性,-1.0季節×性別,仕上良好,57.4,67.4,3
5,6,10,ウォータークラーク,+12.8,7.0,3人気,+2.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +0.4前々走好走 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス / +1.8急坂パワー / +0.5ペース適性,-1.0季節×性別,末脚良し,54.4,68.4,4
6,8,13,セブンマジシャン,+4.8,17.5,8人気,+1.0同コース実績 / +2.0調教評価 / +0.2前々走好走 / +0.5血統距離適性 / +2.0ペース適性,-1.0季節×性別,仕上良好,50.9,63.9,9
7,7,12,マテンロウブラボー,+3.0,10.3,4人気,+2.0同コース近距離実績 / +2.0調教評価 / +1.0血統距離適性,-1.0季節×性別 / -1.0ペース適性,好気合,50.8,67.5,11
8,7,11,マイネルフルムーン,+5.0,26.9,10人気,+1.0調教評価 / +1.0距離短縮 / +0.4前々走好走 / +2.5勝利数ボーナス / +0.6急坂パワー / +0.5ペース適性,-1.0季節×性別,仕上上々,49.8,65.9,8
9,1,1,エフォートレス,+6.0,18.0,9人気,+2.0調教評価 / +1.0叩き2戦目 / +2.5近走上昇傾向 / +0.5血統距離適性 / +2.5勝利数ボーナス,-0.5枠番補正 / -1.0季節×性別 / -1.0ペース適性,出来安定,48.6,65.5,7
10,3,4,フォルラニーニ,+9.4,13.3,5人気,+2.0同コース近距離実績 / +1.0調教評価 / +1.0距離短縮 / +0.4前々走好走 / +0.5血統距離適性 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス / +0.3急坂パワー / +0.5ペース適性,-1.0季節×性別,仕上十分,45.9,61.7,6
11,4,6,アルトゥーム,+2.3,54.6,12人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0血統距離適性 / +0.5枠番補正 / +0.3急坂パワー,-0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,意欲十分,43.1,58.5,12
12,5,7,エスコバル,+3.5,80.8,14人気,+3.0調教評価 / +1.0距離短縮 / +1.0血統距離適性,-0.5前走ローカル / -1.0ペース適性,好調持続,42.2,55.4,10
13,4,5,グラニット,+1.0,66.4,13人気,+0.5枠番補正 / +2.0ペース適性,-0.5前走ローカル / -1.0季節×性別,平行線,38.4,55.8,13
14,6,9,ナヴォーナ,-2.1,51.6,11人気,+0.5血統距離適性 / +0.9急坂パワー,-1.0調教評価 / -0.5前走ローカル / -1.0季節×性別 / -1.0ペース適性,目立たず,36.8,60.4,14

■レース情報,芝1600m,202606040811,良

■買いサイン,⚠ 見送り,14頭＝14〜15頭（的中10〜12%・ROI52〜68%）

■評価コメント
,2位インパクトシー2.9倍（スコア差3.4pt）。
,【案G順位】能力指数v3（騎手・枠・斤量・休養・距離変化・道悪適性を差し引いた純粋な能力）＋能力以外の因子で順位を決定（2026-09-23〜）。合計スコア列は従来の現行スコア（参考）
,案G1位 2番 サウンドムーブ 総合点65.5 / 能力指数73.8 / 能力以外+5.5 / 現行1位(+18.1)
,案G2位 8番 インパクトシー 総合点58.1 / 能力指数70.3 / 能力以外+3.5 / 現行2位(+14.8)
,案G3位 14番 テンミラクルスター 総合点58.1 / 能力指数69.5 / 能力以外+4.0 / 現行5位(+12.1)
,案G4位 3番 ソルトブリーズ 総合点57.4 / 能力指数67.4 / 能力以外+5.0 / 現行3位(+14.3)
,案G5位 10番 ウォータークラーク 総合点54.4 / 能力指数68.4 / 能力以外+2.5 / 現行4位(+12.8)
,案G6位 13番 セブンマジシャン 総合点50.9 / 能力指数63.9 / 能力以外+3.5 / 現行9位(+4.8)
,案G7位 12番 マテンロウブラボー 総合点50.8 / 能力指数67.5 / 能力以外+1.0 / 現行11位(+3.0)
,案G8位 11番 マイネルフルムーン 総合点49.8 / 能力指数65.9 / 能力以外+1.5 / 現行8位(+5.0)
,案G9位 1番 エフォートレス 総合点48.6 / 能力指数65.5 / 能力以外+1.0 / 現行7位(+6.0)
,案G10位 4番 フォルラニーニ 総合点45.9 / 能力指数61.7 / 能力以外+2.0 / 現行6位(+9.4)
,案G11位 6番 アルトゥーム 総合点43.1 / 能力指数58.5 / 能力以外+2.5 / 現行12位(+2.3)
,案G12位 7番 エスコバル 総合点42.2 / 能力指数55.4 / 能力以外+4.0 / 現行10位(+3.5)
,案G13位 5番 グラニット 総合点38.4 / 能力指数55.8 / 能力以外+1.5 / 現行13位(+1.0)
,案G14位 9番 ナヴォーナ 総合点36.8 / 能力指数60.4 / 能力以外-2.5 / 現行14位(-2.1)

■三連複1軸-相手,1軸-相手4頭 (6点),"軸:2番サウンドムーブ / 相手(予想2〜5位):8,14,3,10",6点
,2－3－8
,2－3－10
,2－3－14
,2－8－10
,2－8－14
,2－10－14

■参考:2軸型(3〜9位相手),軸:2番サウンドムーブ×8番インパクトシー,"相手(3〜9位):14,3,10,13,12,11,1",7点
,1－2－8
,2－3－8
,2－8－10
,2－8－11
,2－8－12
,2－8－13
,2－8－14

■強み弱み,馬番,馬名,強み,弱み,脚質
,2,サウンドムーブ,能力指数74はメンバー1位（2位に3差） ／ 調教「好調持続」（同コメントの複勝率38%）,—,差し（近5走の序盤 平均7.6番手）
,8,インパクトシー,能力指数70（メンバー2位） ／ 1600m前後は4走1勝・3着内3回 ／ 同コース（中山芝1600）で4歳以上2勝クラス1着,—,追込（近5走の序盤 平均8.8番手）
,14,テンミラクルスター,能力指数70（メンバー3位） ／ 1600m前後は2走1勝・3着内2回 ／ 7番人気だが総合点は3位（人気より高評価）,前走佐渡S(3勝クラス)11着（1.1秒差）,差し（近5走の序盤 平均6.2番手）
,3,ソルトブリーズ,1600m前後は7走0勝・3着内4回 ／ 同コース（中山芝1600）で4歳以上1勝クラス2着,—,先行（近5走の序盤 平均4.0番手）
,10,ウォータークラーク,1600m前後は4走1勝・3着内4回 ／ 前走久御山特別(2勝クラス)1着,中山芝は初めて ／ 約4か月の休み明け,追込（近5走の序盤 平均7.0番手）
,13,セブンマジシャン,同コース（中山芝1600）で2025ファイナルS(3勝クラス)2着,前走花のみちS(3勝クラス)14着（1.2秒差）,差し（近5走の序盤 平均5.2番手）
,12,マテンロウブラボー,1600m前後は7走2勝・3着内5回 ／ 同コース（中山芝1600）で初凪賞(2勝クラス)1着,—,差し（近5走の序盤 平均9.4番手）
,11,マイネルフルムーン,1600m前後は5走0勝・3着内4回,中山芝は初めて,差し（近5走の序盤 平均7.6番手）
,1,エフォートレス,1600m前後は12走2勝・3着内7回 ／ 同コース（中山芝1600）で3歳未勝利2着,—,差し（近5走の序盤 平均8.8番手）
