順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,5,8,カンシン,+11.4,4.5,2人気,+3.8rising_trend / +0.2prev_run_bonus / +0.4prev2_run_bonus / +1.0bloodline_distance / +0.5post_surface / +1.5place_consistency / +2.5win_count / +0.5pace_fit,,
2,7,11,マイネルチケット,+10.5,2.7,1人気,+3.0same_course / +0.2prev2_run_bonus / +1.0grade_history / +2.2place_consistency / +2.5win_count / +2.0pace_fit,-0.5post_surface,
3,5,7,イミグラントソング,+9.5,8.4,4人気,+2.0same_course / +1.0distance_drop / +2.0grade_history / +0.5post_surface / +1.5place_consistency / +2.5win_count / +0.5pace_fit,-0.5local_prev,
4,6,10,グロリアラウス,+7.0,6.9,3人気,+2.0same_course / +0.5post_surface / +2.5win_count / +2.0pace_fit,,
5,7,12,レッドシュヴェルト,+6.0,22.5,8人気,+3.0same_course / +1.0grade_history / +2.5win_count,-0.5post_surface / -1.0pace_fit,
6,4,6,マサノカナリア,+4.0,22.6,9人気,+2.5win_count / +0.5pace_fit,,
7,8,13,アクートゥス,+2.8,17.5,7人気,+0.2prev_run_bonus / +2.5win_count / +0.5pace_fit,-0.5bloodline_distance,
8,4,5,クルゼイロドスル,+2.0,8.6,5人気,+2.0fastest_3f / +1.0distance_drop,-1.0pace_fit,
9,3,4,ショウナンザナドゥ,+1.5,41.6,10人気,+1.0distance_drop,-0.5bloodline_distance / -1.0pace_fit,
10,1,1,ラケマーダ,+1.5,15.7,6人気,+1.5same_course / +1.0distance_drop,-1.0pace_fit,
11,6,9,カリボール,+0.5,51.1,12人気,+0.5post_surface / +0.5pace_fit,-0.5bloodline_distance,
12,2,2,バグラダス,-0.5,47.9,11人気,,-0.5post_surface / -1.0pace_fit,
13,3,3,グレイイングリーン,-2.0,80.7,13人気,,-0.5bloodline_distance / -0.5local_prev / -1.0pace_fit,
