順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,3,テラメリタ,+14.6,7.9,3人気,+3.0same_course / +2.5rising_trend / +0.4prev_run_bonus / +0.4prev2_run_bonus / +2.2place_consistency / +2.5win_count / +3.1steep_power / +0.5pace_fit,,
2,1,1,サンタンカ,+12.1,23.0,9人気,+2.5rising_trend / +0.4prev_run_bonus / +0.4prev2_run_bonus / +1.0bloodline_distance / +1.5place_consistency / +5.0win_count / +0.3steep_power / +0.5pace_fit,-0.5post_surface,
3,2,2,マイエレメント,+11.9,27.1,10人気,+3.0same_course / +1.0distance_drop / +1.5place_consistency / +5.0win_count / +0.9steep_power / +0.5pace_fit,,
4,6,10,アウフヘーベン,+8.1,2.5,1人気,+2.0same_course / +0.4prev_run_bonus / +0.2prev2_run_bonus / +2.2place_consistency / +1.2steep_power / +2.0pace_fit,,
5,8,14,ゼンダンハヤブサ,+7.2,36.7,11人気,+3.0same_course / +0.2prev_run_bonus / +2.5win_count / +0.9steep_power / +0.5pace_fit,,
6,6,9,アイルシャイン,+6.9,72.5,13人気,+1.2rising_trend / +0.4prev2_run_bonus / +5.0win_count / +0.3steep_power,-1.0pace_fit,
7,5,8,ミナデオロ,+4.5,4.8,2人気,+2.0same_course / +1.0distance_drop / +2.0pace_fit,-0.5local_prev,
8,7,11,コルレオニス,+4.2,42.0,12人気,+0.2prev2_run_bonus / +2.5win_count / +0.5pace_fit,,
9,5,7,ケーブパール,+4.0,14.7,7人気,+2.5same_course / +2.5win_count,-1.0pace_fit,
10,4,5,エポックヴィーナス,+2.9,20.9,8人気,+2.0fastest_3f / +0.2prev_run_bonus / +0.5bloodline_distance / +0.5post_surface / +0.6steep_power,-1.0pace_fit,
11,7,12,セブンマジシャン,+2.4,10.6,4人気,+0.2prev_run_bonus / +0.6steep_power / +0.5pace_fit,,
12,3,4,チャンネルトンネル,+2.2,11.3,5人気,+0.2prev2_run_bonus / +1.5steep_power / +0.5pace_fit,,
13,8,13,ワイドアラジン,+2.0,92.3,14人気,+1.0distance_drop / +0.5pace_fit,-0.5local_prev,
14,4,6,ウォーターガーベラ,+1.8,14.6,6人気,+2.0same_course / +0.2prev2_run_bonus / +0.5post_surface,-1.0pace_fit,

--- パターン馬（穴3着候補）---
予想順位,馬名,人気,スコア差,脚質
（該当なし）
