順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳
1,8,17,トロヴァトーレ,+15.0,4.8,2人気,+5.0前走重賞近差 / +3.0前々走重賞近差 / +4.0同コース実績 / +3.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮,-2.0昇級初戦
2,2,3,オフトレイル,+11.0,39.4,13人気,+5.0前走重賞近差 / +2.0前々走重賞近差 / +2.0前走3F最速 / +2.0調教A評価 / +1.0叩き2戦目,-1.0回り不適
3,7,14,ガイアフォース,+10.0,2.8,1人気,+2.0前々走重賞近差 / +4.0同コース実績 / +2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮,
4,1,1,レーベンスティール,+9.5,8.7,3人気,+3.0前走重賞近差 / +3.0前々走重賞近差 / +3.0調教A評価 / +1.0距離短縮,-0.5枠番補正
5,5,9,ウォーターリヒト,+8.0,27.2,10人気,+3.0前走重賞近差 / +3.0前々走重賞近差 / +1.0調教A評価 / +1.0叩き2戦目,
6,8,15,ドラゴンブースト,+7.0,35.9,12人気,+5.0前走重賞近差 / +2.0調教A評価 / +1.0前々走好走,-1.0回り不適
7,2,4,シックスペンス,+6.0,24.4,8人気,+3.0前走重賞近差 / +2.0調教A評価 / +1.0叩き2戦目 / +1.0近走上昇傾向,-1.0回り不適
8,3,6,ステレンボッシュ,+6.0,9.4,5人気,+3.0調教A評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +1.0距離短縮,
9,7,13,セイウンハーデス,+5.0,12.3,6人気,+3.0前走重賞近差 / +2.0調教A評価 / +1.0距離短縮,-1.0回り不適
10,4,7,スズハローム,+4.5,27.2,9人気,+5.0前走重賞近差 / +1.0調教A評価 / +1.0前々走好走 / +0.5枠番補正,-2.0昇級初戦 / -1.0回り不適
11,4,8,シャンパンカラー,+4.5,32.1,11人気,+3.0前走重賞近差 / +2.0調教A評価 / +0.5枠番補正,-1.0回り不適
12,6,11,ワールズエンド,+2.5,20.0,7人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0近走上昇傾向 / +2.0前走好走 / +0.5前々走好走,-2.0距離延長 / -1.0昇級初戦
13,3,5,サクラトゥジュール,+2.0,123.7,16人気,+2.0前々走重賞近差 / +1.0調教A評価,-1.0回り不適
14,1,2,ロングラン,+0.5,239.6,17人気,+1.0調教A評価 / +1.0叩き2戦目,-0.5枠番補正 / -1.0回り不適
15,8,16,パンジャタワー,+0.0,9.1,4人気,+3.0前走重賞近差,-2.0距離延長 / -1.0回り不適
16,6,12,シリウスコルト,-1.0,116.9,15人気,+2.0調教A評価,-2.0距離延長 / -1.0回り不適
17,5,10,ルクソールカフェ,-2.0,71.8,14人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮,-5.0初馬場種別
