馬名,時計スコア(1-5),状態スコア(1-5),メモ
ムーヴ,3,4,美W重6F69.3-半哩39.6-1F12.0馬なり 手応え十分パワフル体調問題なし
マルモリスペシャル,4,3,CW稍3F38.4-1F11.2強め近 完調ではないが毎週負荷かけ仕上がり
プレゼンティーア,3,4,坂路稍4F54.8-3F39.1馬なり 素軽い動き依然好気配
フリームファクシ,2,3,坂路不4F56.2-3F40.3馬なり 復調に手間取るも攻めは上々
ショウナンアビアス,4,4,坂路重4F53.5-3F39.4馬なり 体引き締まり上昇気配窺える
アンズアメ,2,4,坂路稍4F56.8-3F40.6馬なり 前走後も重心低くパワフルますます快調
スマートフォルス,3,4,坂路不4F55.9-3F40.3一杯 動き軽快デキ落ちなし好調時と遜色なし
クロジシジョー,4,3,坂路稍4F53.3-3F38.2馬なり 小気味いい走りデキキープ
ケイアイドリー,3,4,坂路稍4F55.3-3F40.3馬なり 太め感なく素軽いまずまず仕上がる
リジル,4,4,CW稍半哩42.1-1F11.7馬なり 先週終い11.2かなりいい動き好調教
アガシ,3,4,坂路稍4F55.9-3F39.5馬なり 先週自己ベスト近好時計 仕上がり良好
ロードフロンティア,4,4,坂路稍4F55.2-3F39.4馬なり 時計以上のスピード感立て直し良化
ペプチドヤマト,2,4,坂路軽め4F59.6馬なり 先週50.1-36.5一杯が本追い 好調持続
サンライズアムール,3,4,坂路不4F54.7-3F39.3馬なり 6カ月明けも力強く推進力あり
コンクイスタ,2,4,坂路不軽め4F60.2馬なり 先週50.9-37.3一杯が本追い 先週好時計
ジュンウィンダム,2,3,坂路不軽め4F60.3馬なり 不良考慮軽め調整 気配いい反動なし
